,id,title,author,day,genre,story,platform,thumb
13,14,호랑신랑뎐,고추참치,"월, 목",판타지,"산 속에 사는 금슬 좋은 부부! 그러나 이 부부에겐 어딘가 특별한 점이 있다.
 그건 바로.. 신랑이 사람처럼 걸어다니고 말도 할 수 있는 호랑이라는데..? 
무뚝뚝하지만 마음씨 착한 호랑이 신랑과 장난스럽고 수다스러운 인간 아내가 만나 벌어지는 좌충우돌 일상 이야기!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/795643/thumbnail/thumbnail_IMAG21_bf51fa0f-e374-49f8-973d-c17c5385bbef.jpg
14,15,잔불의 기사,환댕,월,판타지,"유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다.
천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만,
동생의 복수를 위해 '강함'을 연기하기로 결심했다.
약해빠진 나는 복수에 성공할 수 있을까.",네이버 웹툰,https://image-comic.pstatic.net/webtoon/768536/thumbnail/thumbnail_IMAG21_91c5c081-77e6-4516-a503-2f45aad57401.jpg
15,16,만렙돌파,성불예정,월,판타지,"알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.
그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 
만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/759940/thumbnail/thumbnail_IMAG21_3976787538998813497.jpg
16,17,나 없는 단톡방,봉수,월,드라마,"여고생 안효인은 학교에서 친구들과 잘 지내는 편이었다. 학급 내에서는 분위기 파악도 할 줄 알고 때에 따라 친구들을 적당히 웃기기도 했다. 
덕분에 그녀를 적대적으로 대하는 친구들은 거의 없었다. 그러나 어느 날 부터 효인은 영문도 모른 채 묘한 따돌림을 당하기 시작한다. 
스마트 폰을 뒤늦게 산 탓 때문일까. 심지어 효인만 없는 단톡방의 존재까지 알게 된다. 

""내가... 뭘... 잘못한 거지?""",네이버 웹툰,https://image-comic.pstatic.net/webtoon/805907/thumbnail/thumbnail_IMAG21_ab626e51-db74-46ff-8fdb-4a62edbc4fd1.jpg
17,18,북부 공작님을 유혹하겠습니다,가천가,월,로맨스,"“내 애인인 척 사교계에 들어가.”
전 세계에서 주목하는 톱스타, 셀리나는
촬영 중 갑작스러운 사고로 북부 공작의 땅에 차원 이동한다.
마수에게서 목숨을 구해준 북부 공작, 칼시온은
셀리나에게 자신의 애인인 척 사교계에 들어가
정보를 입수하라는 계약을 제시하는데..",네이버 웹툰,https://image-comic.pstatic.net/webtoon/794421/thumbnail/thumbnail_IMAG21_7149805464895174963.jpg
18,19,히어로메이커,빤쓰,월,판타지,왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,네이버 웹툰,https://image-comic.pstatic.net/webtoon/21815/thumbnail/thumbnail_IMAG21_7292511306663934265.jpg
19,20,꼬리잡기,바쉬,월,스릴러,"건물붕괴 사고로 매몰된 9명의 대학생.
2주 뒤, 3명은 사망하고 1명은 의식불명인 상태로 발견된다.
가까스로 구조된 생존자 5명은 그곳에서 있었던 일을 숨기려 하는데... 생존자인 척 숨어있던 살인자에 대한 정황이 드러나기 시작한다.
수사팀은 이 밀실살인 사건의 처음과 끝을 파헤치게 된다.",네이버 웹툰,https://image-comic.pstatic.net/webtoon/758666/thumbnail/thumbnail_IMAG21_7364564497641911606.jpg
20,21,김부장,박태준 만화회사,화,액션,"“제발 안경 쓴 아저씨는 건들지 말자…”
오직 자신의 딸 '민지'를 위해 특수요원직을 관두고 평범함을 선택한 가장 김부장.
그러던 어느 날 민지가 소리소문 없이 사라지고, 김부장은 자신을 감시하는 국가를 적으로 돌리면서까지 딸을 찾아나서기 시작하는데...
[외모지상주의], [싸움독학] 그리고 [인생존망]의 세계관을 잇는 공식 스핀오프 작품!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/783053/thumbnail/thumbnail_IMAG21_d7732f14-26da-4e35-8762-660cc87b53f1.jpg
21,22,대학원 탈출일지,요다,"화, 금",일상,"연구에 꿈을 가지고 대학원을 선택한 병아리 요다.
예상과는 다르게 연구에 관심 없는 교수님과 
똥군기의 연구실 분위기에 당황한다.
요다는 과연 무사히 대학원을 탈출할 수 있을 것인가?!",네이버 웹툰,https://image-comic.pstatic.net/webtoon/790713/thumbnail/thumbnail_IMAG21_3919364435331003700.jpg
22,23,내가 키운 S급들,seri,화,판타지,"F급 헌터.
그것도 잘나가는 S급 동생 발목이나 잡는 쓸모없고 찌질한 F급 형.
개판된 인생 대충 살다가 결국 동생 목숨까지 잡아먹고 회귀한 내게 주어진 칭호,
'완벽한 양육자'.
그래, 이번에는 나대지 말고 얌전히 잘난놈들 뒷바라지나 해 주자.
라고 생각했는데, S급들이 좀 이상하다.",네이버 웹툰,https://image-comic.pstatic.net/webtoon/784248/thumbnail/thumbnail_IMAG21_20a8aca7-23d3-4bc0-9916-a31ebc884ca8.jpg
