0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:58 +0900] "GET /AFO1/view.jsp?bbsID=1 HTTP/1.1" 200 8361
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:01 +0900] "POST /AFO1/deleteAction.jsp?bbsID=1 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:01 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 11144
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:02 +0900] "GET /AFO1/view.jsp?bbsID=2 HTTP/1.1" 200 8357
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:03 +0900] "POST /AFO1/deleteAction.jsp?bbsID=2 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:03 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 10468
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:04 +0900] "GET /AFO1/view.jsp?bbsID=3 HTTP/1.1" 200 8348
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:04 +0900] "POST /AFO1/deleteAction.jsp?bbsID=3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:04 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 9572
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:05 +0900] "GET /AFO1/view.jsp?bbsID=11 HTTP/1.1" 200 18330
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:06 +0900] "POST /AFO1/deleteAction.jsp?bbsID=11 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:06 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:10 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:11 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99326
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:12 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:15 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:17 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:19 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:21 +0900] "GET /AFO1/view.jsp?bbsID=13 HTTP/1.1" 200 9895
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:23 +0900] "POST /AFO1/deleteAction.jsp?bbsID=13 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:23 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:24 +0900] "GET /AFO1/view.jsp?bbsID=12 HTTP/1.1" 200 8850
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:25 +0900] "POST /AFO1/deleteAction.jsp?bbsID=12 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:08:25 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7481
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:02 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7481
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:06 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:10 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 12676
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:12 +0900] "POST /AFO1/update.jsp?bbsID=14 HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:19 +0900] "POST /AFO1/updateAction.jsp?bbsID=14 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:20 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:31 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:57 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:57 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:58 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:58 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:58 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:58 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:11:59 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:00 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:04 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:04 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:04 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:04 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:04 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:04 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:12 +0900] "GET /AFO1/write.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:12 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:12:36 +0900] "POST /AFO1/writeAction.jsp HTTP/1.1" 200 213
