0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:59 +0900] "GET /AFO1/bbs.jsp?pageNumber=3 HTTP/1.1" 200 13541
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:01 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:02 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 6420
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:13 +0900] "GET /AFO1/write_webtoon.jsp HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:13 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:19 +0900] "POST /AFO1/writeAction_webtoon.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:19 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 7105
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:21 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:23 +0900] "GET /AFO1/bbs_drama.jsp HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:26 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 7105
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:34 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:35 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:36 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:39 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:40 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:42 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:43 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 7105
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:44 +0900] "GET /AFO1/write_webtoon.jsp HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:44 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:54 +0900] "POST /AFO1/writeAction_webtoon.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:54 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 7797
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:49:57 +0900] "GET /AFO1/view.jsp?bbsID=53 HTTP/1.1" 200 8302
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:03 +0900] "POST /AFO1/submitAction.jsp?bbsID=53 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:03 +0900] "GET /AFO1/view.jsp?bbsID=53 HTTP/1.1" 200 9424
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:05 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:06 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:10 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:12 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:13 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 7797
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:14 +0900] "GET /AFO1/write_webtoon.jsp HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:14 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:26 +0900] "POST /AFO1/writeAction_webtoon.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:26 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:32 +0900] "GET /AFO1/write_webtoon.jsp HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:32 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
